ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism	sample_id
vatB	3002841	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus aureus	3.0	0.0	3.0	43.51	278.0	165.33	0	0	0	0				639	streptogramin vat acetyltransferase	streptogramin antibiotic; streptogramin A antibiotic	antibiotic inactivation	ERR1725962
mdtM	3001214	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	4.0	0.0	4.0	39.5	487.0	156.5	0	0	0	0				1233	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1725962
aadA6/aadA10	3002622	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	7.0	0.0	7.0	55.04	459.0	194.43	0	0	0	0				834	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	ERR1725962
mel	3000616	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pyogenes	80.0	0.0	80.0	100.0	1218.0	160.47	0	0	0	0				1218	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection	ERR1725962
GES-23	3002352	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	12.0	0.0	12.0	15.8	136.0	70.08	0	0	0	0				861	GES beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1725962
ceoB	3003010	protein homolog model	CARD	1	100.0	no data	no data	Burkholderia cepacia	115.0	0.0	115.0	81.29	2507.0	107.08	0	0	0	0				3084	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; aminoglycoside antibiotic	antibiotic efflux	ERR1725962
H-NS	3000676	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	5.0	0.0	5.0	64.98	269.0	135.8	0	0	0	0				414	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; penicillin beta-lactam; tetracycline antibiotic	antibiotic efflux	ERR1725962
OXA-119	3001775	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	4.0	0.0	4.0	49.56	397.0	188.0	0	0	0	0				801	OXA beta-lactamase; OXA-46-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1725962
OXA-192	3001766	protein homolog model	CARD	1	100.0	no data	no data	Brachyspira pilosicoli	1.0	0.0	1.0	3.09	25.0	56.0	0	0	0	0				810	OXA beta-lactamase; OXA-63-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1725962
tet(D)	3000168	protein homolog model	CARD	1	100.0	no data	no data	Shigella flexneri	1.0	0.0	1.0	1.77	21.0	34.0	0	0	0	0				1185	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	ERR1725962
tet(44)	3000556	protein homolog model	CARD	1	100.0	no data	no data	Campylobacter fetus	12.0	0.0	12.0	40.93	787.0	169.42	0	0	0	0				1923	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	ERR1725962
EreD	3004608	protein homolog model	CARD	1	100.0	no data	no data	Riemerella anatipestifer	7.0	0.0	7.0	38.06	467.0	190.29	0	0	0	0				1227	macrolide esterase	macrolide antibiotic	antibiotic inactivation	ERR1725962
mef(B)	3003107	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.0	0.0	2.0	24.47	301.0	198.0	0	0	0	0				1230	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	ERR1725962
mdtC	3000794	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	29.0	0.0	29.0	59.16	1821.0	144.59	0	0	0	0				3078	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux	ERR1725962
LRA-2	3002485	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	4.0	0.0	4.0	7.15	65.0	56.0	0	0	0	0				909	subclass B3 LRA beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1725962
evgS	3000833	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	23.0	0.0	23.0	49.67	1785.0	187.83	0	0	0	0				3594	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam; tetracycline antibiotic	antibiotic efflux	ERR1725962
emrR	3000516	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	6.0	0.0	6.0	39.55	210.0	166.0	0	0	0	0				531	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux	ERR1725962
tet(32)	3000196	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	17.0	0.0	17.0	61.25	1176.0	185.94	0	0	0	0				1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	ERR1725962
APH(3')-IIIa	3002647	protein homolog model	CARD	1	100.0	no data	no data	Campylobacter coli	1.0	0.0	1.0	18.99	151.0	201.0	0	0	0	0				795	APH(3')	aminoglycoside antibiotic	antibiotic inactivation	ERR1725962
tet(Q)	3000191	protein homolog model	CARD	1	100.0	no data	no data	Bacteroides fragilis	31.0	0.0	31.0	87.99	1737.0	185.23	0	0	0	0				1974	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	ERR1725962
cmx	3002703	protein homolog model	CARD	1	100.0	no data	no data	Corynebacterium striatum	1.0	0.0	1.0	9.35	110.0	187.0	0	0	0	0				1176	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux	ERR1725962
OXA-53	3001810	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	1.0	0.0	1.0	2.05	17.0	23.0	0	0	0	0				828	OXA beta-lactamase; OXA-2-like beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1725962
ANT(2'')-Ia	3000230	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	8.0	0.0	8.0	81.84	437.0	193.38	0	0	0	0				534	ANT(2'')	aminoglycoside antibiotic	antibiotic inactivation	ERR1725962
RbpA	3000245	protein homolog model	CARD	1	100.0	no data	no data	Mycolicibacterium smegmatis	7.0	0.0	7.0	77.39	267.0	78.43	0	0	0	0				345	RbpA bacterial RNA polymerase-binding protein	rifamycin antibiotic	antibiotic target protection	ERR1725962
acrD	3000491	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	45.0	0.0	45.0	49.78	1550.0	111.96	0	0	0	0				3114	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux	ERR1725962
Erm(35)	3000604	protein homolog model	CARD	1	100.0	no data	no data	Bacteroides coprosuis	1.0	0.0	1.0	17.85	143.0	164.0	0	0	0	0				801	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	ERR1725962
aadA5	3002605	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	37.0	0.0	37.0	100.0	789.0	192.92	0	0	0	0				789	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	ERR1725962
mdtN	3003548	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	1.0	0.0	1.0	11.05	114.0	188.0	0	0	0	0				1032	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1725962
aadA7	3002607	protein homolog model	CARD	1	100.0	no data	no data	Vibrio fluvialis	2.0	0.0	2.0	37.84	302.0	196.0	0	0	0	0				798	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	ERR1725962
THIN-B	3000851	protein homolog model	CARD	1	100.0	no data	no data	Janthinobacterium lividum	4.0	0.0	4.0	8.83	84.0	59.25	0	0	0	0				951	THIN-B beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1725962
AcrF	3000502	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	39.0	0.0	39.0	51.43	1597.0	153.82	0	0	0	0				3105	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; penicillin beta-lactam	antibiotic efflux	ERR1725962
adeI	3000780	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	14.0	0.0	14.0	23.5	294.0	101.71	0	0	0	0				1251	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	ERR1725962
OXA-209	3001809	protein homolog model	CARD	1	100.0	no data	no data	Riemerella anatipestifer	3.0	0.0	3.0	42.91	354.0	137.0	0	0	0	0				825	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1725962
EreA2	3002826	protein homolog model	CARD	1	100.0	no data	no data	Providencia stuartii	4.0	0.0	4.0	28.04	344.0	190.5	0	0	0	0				1227	macrolide esterase	macrolide antibiotic	antibiotic inactivation	ERR1725962
AcrE	3000499	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	6.0	0.0	6.0	43.52	504.0	192.33	0	0	0	0				1158	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; penicillin beta-lactam	antibiotic efflux	ERR1725962
ErmB	3000375	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	26.0	0.0	26.0	87.28	652.0	183.12	0	0	0	0				747	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	ERR1725962
APH(6)-Ia	3002657	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces griseus	5.0	0.0	5.0	5.3	49.0	62.0	0	0	0	0				924	APH(6)	aminoglycoside antibiotic	antibiotic inactivation	ERR1725962
OXA-17	3001412	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	20.0	0.0	20.0	100.0	801.0	196.0	0	0	0	0				801	OXA beta-lactamase; OXA-10-like beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1725962
aad(6)	3002628	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus oralis	2.0	0.0	2.0	18.17	151.0	200.5	0	0	0	0				831	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation	ERR1725962
OXA-205	3001483	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	30.0	0.0	30.0	100.0	801.0	183.63	0	0	0	0				801	OXA beta-lactamase; OXA-46-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1725962
SAT-4	3002897	protein homolog model	CARD	1	100.0	no data	no data	Campylobacter coli	2.0	0.0	2.0	23.76	129.0	189.0	0	0	0	0				543	streptothricin acetyltransferase (SAT)	nucleoside antibiotic	antibiotic inactivation	ERR1725962
lmrD	3002882	protein homolog model	CARD	1	100.0	no data	no data	Lactococcus lactis	8.0	0.0	8.0	26.22	523.0	119.25	0	0	0	0				1995	ATP-binding cassette (ABC) antibiotic efflux pump	lincosamide antibiotic	antibiotic efflux	ERR1725962
MexD	3000801	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	114.0	0.0	114.0	55.14	1727.0	105.84	0	0	0	0				3132	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	ERR1725962
catQ	3002687	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	5.0	0.0	5.0	57.12	377.0	190.8	0	0	0	0				660	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	ERR1725962
vanR gene in vanG cluster	3002926	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	3.0	0.0	3.0	25.85	183.0	66.0	0	0	0	0				708	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration	ERR1725962
tet(S)	3000192	protein homolog model	CARD	1	100.0	no data	no data	Listeria monocytogenes	3.0	0.0	3.0	17.6	339.0	197.67	0	0	0	0				1926	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	ERR1725962
CARB-8	3002247	protein homolog model	CARD	1	100.0	no data	no data	Oligella urethralis	6.0	0.0	6.0	66.89	600.0	192.0	0	0	0	0				897	CARB beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1725962
ceoA	3003009	protein homolog model	CARD	1	100.0	no data	no data	Burkholderia cepacia	7.0	0.0	7.0	29.15	355.0	83.43	0	0	0	0				1218	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; aminoglycoside antibiotic	antibiotic efflux	ERR1725962
adeK	3000782	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	33.0	0.0	33.0	64.19	934.0	131.91	0	0	0	0				1455	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	ERR1725962
aadA16	3002616	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	62.0	0.0	62.0	86.64	733.0	95.73	0	0	0	0				846	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	ERR1725962
OXA-97	3001647	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	8.0	0.0	8.0	81.85	690.0	184.62	0	0	0	0				843	OXA beta-lactamase; OXA-58-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1725962
emrA	3000027	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	13.0	0.0	13.0	71.53	839.0	168.85	0	0	0	0				1173	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux	ERR1725962
mexY	3003033	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	125.0	0.0	125.0	54.41	1709.0	103.4	0	0	0	0				3141	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1725962
OXA-334	3001522	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter johnsonii	2.0	0.0	2.0	25.94	214.0	194.0	0	0	0	0				825	OXA beta-lactamase; OXA-211-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1725962
aadA11	3002611	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	222.0	0.0	222.0	94.92	803.0	127.87	0	0	0	0				846	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	ERR1725962
tet(M)	3000186	protein homolog model	CARD	1	100.0	no data	no data	Erysipelothrix rhusiopathiae	2.0	0.0	2.0	8.23	158.0	133.5	0	0	0	0				1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	ERR1725962
bacA	3002986	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	10.0	0.0	10.0	79.68	655.0	182.4	0	0	0	0				822	undecaprenyl pyrophosphate related proteins	peptide antibiotic	antibiotic target alteration	ERR1725962
AAC(6')-Ir	3002561	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter colistiniresistens	4.0	0.0	4.0	7.26	32.0	74.75	0	0	0	0				441	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	ERR1725962
OXA-20	3001415	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	4.0	0.0	4.0	56.05	449.0	190.25	0	0	0	0				801	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1725962
APH(3'')-Ib	3002639	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	5.0	0.0	5.0	24.25	195.0	138.8	0	0	0	0				804	APH(3'')	aminoglycoside antibiotic	antibiotic inactivation	ERR1725962
linG	3002879	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	2.0	0.0	2.0	18.25	150.0	138.0	0	0	0	0				822	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation	ERR1725962
CfxA3	3003003	protein homolog model	CARD	1	100.0	no data	no data	Capnocytophaga ochracea	9.0	0.0	9.0	47.1	455.0	178.56	0	0	0	0				966	CfxA beta-lactamase	cephalosporin	antibiotic inactivation	ERR1725962
mdtE	3000795	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.0	0.0	2.0	25.47	295.0	198.0	0	0	0	0				1158	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam	antibiotic efflux	ERR1725962
MdtK	3001327	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	4.0	0.0	4.0	21.19	302.0	119.0	0	0	0	0				1425	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone antibiotic	antibiotic efflux	ERR1725962
mtrD	3000811	protein homolog model	CARD	1	100.0	no data	no data	Neisseria meningitidis	20.0	0.0	20.0	31.8	1019.0	110.9	0	0	0	0				3204	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	ERR1725962
lnuD	3002838	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus uberis	4.0	0.0	4.0	52.53	260.0	84.5	0	0	0	0				495	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation	ERR1725962
smeB	3003052	protein homolog model	CARD	1	100.0	no data	no data	Stenotrophomonas maltophilia	138.0	0.0	138.0	44.6	1405.0	115.23	0	0	0	0				3150	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; cephalosporin; penicillin beta-lactam	antibiotic efflux	ERR1725962
MexB	3000378	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	195.0	0.0	195.0	83.03	2608.0	126.1	0	0	0	0				3141			antibiotic efflux	ERR1725962
aadA6	3002606	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	804.0	0.0	804.0	99.41	841.0	127.74	0	0	0	0				846	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	ERR1725962
aadA8	3002608	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	4.0	0.0	4.0	47.85	379.0	179.0	0	0	0	0				792	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	ERR1725962
mdtO	3003549	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	10.0	0.0	10.0	44.15	906.0	192.2	0	0	0	0				2052	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1725962
OXA-118	3001768	protein homolog model	CARD	1	100.0	no data	no data	Burkholderia cepacia	11.0	0.0	11.0	83.65	670.0	187.0	0	0	0	0				801	OXA beta-lactamase; OXA-46-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1725962
aadA13	3002613	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	2.0	0.0	2.0	30.33	242.0	180.0	0	0	0	0				798	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	ERR1725962
LRA-7	3002486	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	4.0	0.0	4.0	3.74	34.0	39.5	0	0	0	0				909	subclass B3 LRA beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1725962
AAC(6')-Ib7	3002578	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	18.0	0.0	18.0	37.79	297.0	176.5	0	0	0	0				786	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	ERR1725962
gimA	3000463	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces ambofaciens	10.0	0.0	10.0	25.92	325.0	71.6	0	0	0	0				1254	gimA family macrolide glycosyltransferase	macrolide antibiotic	antibiotic inactivation	ERR1725962
PmrF	3003578	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	1.0	0.0	1.0	5.06	49.0	152.0	0	0	0	0				969	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	ERR1725962
tet(O)	3000190	protein homolog model	CARD	1	100.0	no data	no data	Campylobacter jejuni	41.0	0.0	41.0	97.81	1878.0	197.12	0	0	0	0				1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	ERR1725962
LnuP	3004601	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	4.0	0.0	4.0	3.99	20.0	34.0	0	0	0	0				501	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation	ERR1725962
TriC	3003681	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	34.0	0.0	34.0	53.74	1638.0	116.47	0	0	0	0				3048	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux	ERR1725962
OpmH	3003682	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	26.0	0.0	26.0	73.43	1064.0	110.31	0	0	0	0				1449	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux	ERR1725962
mexQ	3003699	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	62.0	0.0	62.0	47.12	1490.0	111.21	0	0	0	0				3162	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; carbapenem; tetracycline antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1725962
MexW	3003031	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	119.0	0.0	119.0	72.65	2221.0	125.73	0	0	0	0				3057	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1725962
PEDO-2	3003714	protein homolog model	CARD	1	100.0	no data	no data	Pedobacter sp.	1.0	0.0	1.0	1.98	17.0	23.0	0	0	0	0				858	subclass B3 PEDO beta-lactamase	carbapenem	antibiotic inactivation	ERR1725962
MexK	3003693	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	357.0	0.0	357.0	95.52	2940.0	127.05	0	0	0	0				3078	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; tetracycline antibiotic	antibiotic efflux	ERR1725962
ESP-1	3003717	protein homolog model	CARD	1	100.0	no data	no data	Chryseobacterium sp.	8.0	0.0	8.0	54.75	478.0	93.25	0	0	0	0				873	ESP beta-lactamase	carbapenem	antibiotic inactivation	ERR1725962
mexM	3003704	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	1.0	0.0	1.0	3.37	39.0	34.0	0	0	0	0				1158	resistance-nodulation-cell division (RND) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux	ERR1725962
mphG	3003742	protein homolog model	CARD	1	100.0	no data	no data	Photobacterium damselae	50.0	0.0	50.0	100.0	885.0	169.78	0	0	0	0				885	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation	ERR1725962
vanS gene in vanD cluster	3002934	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	1.0	0.0	1.0	21.51	151.0	196.0	0	0	0	0				702	vanS; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	ERR1725962
Listeria monocytogenes mprF	3003770	protein homolog model	CARD	1	100.0	no data	no data	Listeria monocytogenes	1.0	0.0	1.0	1.19	31.0	34.0	0	0	0	0				2598	defensin resistant mprF	peptide antibiotic	antibiotic target alteration	ERR1725962
gadW	3003838	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	6.0	0.0	6.0	78.88	575.0	178.67	0	0	0	0				729	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam	antibiotic efflux	ERR1725962
kdpE	3003841	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	6.0	0.0	6.0	92.18	625.0	154.17	0	0	0	0				678	kdpDE	aminoglycoside antibiotic	antibiotic efflux	ERR1725962
AAC(6')-Il	3004635	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella aerogenes	1.0	0.0	1.0	8.5	39.0	142.0	0	0	0	0				459	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	ERR1725962
dfrA6 from Proteus mirabilis	3004644	protein homolog model	CARD	1	100.0	no data	no data	Proteus mirabilis	1.0	0.0	1.0	5.27	25.0	67.0	0	0	0	0				474	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement	ERR1725962
Clostridium perfringens mprF	3003773	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	3.0	0.0	3.0	2.05	35.0	49.33	0	0	0	0				1710	defensin resistant mprF	peptide antibiotic	antibiotic target alteration	ERR1725962
aadA10	3004692	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	12.0	0.0	12.0	92.33	770.0	189.33	0	0	0	0				834	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	ERR1725962
oqxB	3003923	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	70.0	0.0	70.0	68.73	2167.0	124.76	0	0	0	0				3153	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic	antibiotic efflux	ERR1725962
msbA	3003950	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	12.0	0.0	12.0	62.72	1097.0	137.58	0	0	0	0				1749	ATP-binding cassette (ABC) antibiotic efflux pump	nitroimidazole antibiotic	antibiotic efflux	ERR1725962
aphA15	3004675	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	5.0	0.0	5.0	48.05	382.0	170.6	0	0	0	0				795	APH(3')	aminoglycoside antibiotic	antibiotic inactivation	ERR1725962
aadS	3004683	protein homolog model	CARD	1	100.0	no data	no data	Transposon Tn4551	26.0	0.0	26.0	96.64	835.0	192.96	0	0	0	0				864	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation	ERR1725962
